Name	Population	Land Area	Water Area	Total Area	Lat	Long
Risaralda_CO	1,024,362	2	2	4,140	4.816667	-75.7
Santander_CO	2,085,084	2	2	30,537	7.133333	-73
Sucre_CO	868,648	2	2	10,917	9.3	-75.4
Tolima_CO	1,312,972	2	2	23,562	4.433333	-75.233333
Valle_del_Cauca_CO	4,524,678	2	2	22,140	3.416667	-76.516667
Vaupés_CO	33,152	2	2	54,135	1.2	-70.166667
Vichada_CO	97,276	2	2	100,242	6.183333	-67.466667
Alajuela_CR	848,146	2	2	9,757.53	10.566667	-84.6
Cartago_CR	490,903	2	2	3,124.67	9.8	-83.65
Guanacaste_CR	326,953	2	2	10,140.71	10.433333	-85.4
Heredia_CR	433,677	2	2	2,656.98	10.416667	-84
Limón_CR	386,862	2	2	9,188.52	10.03	-83.22
Puntarenas_CR	410,929	2	2	11,265.69	9.966667	-84.833333
San_José_CR	1,404,242	2	2	4,965.90	9.6	-83.95
Artemisa_CU	487,339	2	2	4,003.24	22.813611	-82.763333
Camagüey_CU	768,311	2	2	15,386.16	21.383889	-77.9075
Ciego_de_Ávila_CU	424,750	2	2	6,971.64	21.848056	-78.763056
Cienfuegos_CU	400,768	2	2	4,188.61	22.145833	-80.436389
Ciudad_de_la_Habana_CU	2,154,454	2	2	728.26	23.133333	-82.383333
Granma_CU	830,645	2	2	8,374.24	20.381667	-76.642778
Guantánamo_CU	506,369	2	2	6,167.97	20.136667	-75.213889
Holguín_CU	1,027,683	2	2	9,215.72	20.886944	-76.259167
Isla_de_la_Juventud_CU	84,263	2	2	2,419.27	21.75	-82.85
Las_Tunas_CU	525,729	2	2	6,592.66	20.959722	-76.954444
Matanzas_CU	679,314	2	2	11,791.82	23.051389	-81.575
Mayabeque_CU	371,198	2	2	3,743.81	22.968056	-82.155833
Pinar_del_Río_CU	585,452	2	2	8,883.74	22.425833	-83.688333
Sancti_Spíritus_CU	462,114	2	2	6,777.28	21.933889	-79.443889
Santiago_de_Cuba_CU	1,053,837	2	2	6,227.78	20.019833	-75.813917
Villa_Clara_CU	783,708	2	2	8,441.81	22.406919	-79.964939
Cura__ao_CW	160,337	2	2	444	12.183333	-69
Azua_DO	298,246	2	2	2,531.77	18.46	-70.74
Bahoruco_DO	111,269	2	2	1,282.23	18.49	-71.42
Barahona_DO	232,818	2	2	1,739.38	18.2	-71.1
Dajabón_DO	87,274	2	2	1,020.73	19.566667	-71.71
Distrito_Nacional_DO	1,402,749	2	2	104.44	18.5	-69.983333
