Name	Pop	DUMMY	DUMMY	Area	Lat	Long
Kojonup Shire of_WA	2022	2	2	2932	-33.838	117.152
Kondinin Shire of_WA	1042	2	2	7427	-32.494	118.268
Koorda Shire of_WA	431	2	2	2835	-30.831	117.484
Kulin Shire of_WA	834	2	2	4720	-32.671	118.153
Lake Grace Shire of_WA	1370	2	2	11892	-33.1	118.461
Laverton Shire of_WA	1357	2	2	180127	-28.628	122.403
Leonora Shire of_WA	2764	2	2	31941	-28.885	121.331
Mandurah City of_WA	80683	2	2	174	-32.529	115.723
Manjimup Shire of_WA	9427	2	2	7027	-34.241	116.146
Meekatharra Shire of_WA	1521	2	2	100327	-26.593	118.491
Menzies Shire of_WA	422	2	2	124794	-29.688	121.037
Merredin Shire of_WA	3300	2	2	3297	-31.483	118.286
Mingenew Shire of_WA	486	2	2	1937	-29.194	115.441
Moora Shire of_WA	2535	2	2	3767	-30.638	116.01
Morawa Shire of_WA	906	2	2	3517	-29.211	116.009
Mount Magnet Shire of_WA	711	2	2	13893	-28.06	117.846
Mount Marshall Shire of_WA	471	2	2	10197	-30.811	117.862
Mukinbudin Shire of_WA	491	2	2	3438	-30.914	118.207
Murchison Shire of_WA	127	2	2	45110	-26.8935	115.9565
Murray Shire of_WA	16304	2	2	1711	-32.63	115.871
Nannup Shire of_WA	1316	2	2	3055	-33.982	115.765
Narembeen Shire of_WA	810	2	2	3836	-32.063	118.396
Narrogin Shire of_WA	5314	2	2	1632	-32.936	117.178
Ngaanyatjarraku Shire of_WA	1543	2	2	160733	-26.135	126.579
Northam Shire of_WA	11730	2	2	1432	-31.653	116.666
Northampton Shire of_WA	3379	2	2	12638	-28.351	114.628
Nungarin Shire of_WA	228	2	2	1164	-31.187	118.101
Perenjori Shire of_WA	924	2	2	8311	-29.443	116.285
Pingelly Shire of_WA	1195	2	2	1295	-32.534	117.086
Plantagenet Shire of_WA	5182	2	2	4877	-34.63	117.667
Port Hedland Town of_WA	16472	2	2	18482	-20.31	118.601
Quairading Shire of_WA	1094	2	2	2018	-32.01	117.399
Ravensthorpe Shire of_WA	2288	2	2	9833	-33.6	120.133333
Sandstone Shire of_WA	116	2	2	32714	-27.988	119.296
Shark Bay Shire of_WA	928	2	2	24184	-25.927	113.534
Tammin Shire of_WA	401	2	2	1103	-31.641	117.491
Three Springs Shire of_WA	632	2	2	2656	-29.533056	115.714722
Toodyay Shire of_WA	4886	2	2	1693	-31.551	116.464
Trayning Shire of_WA	342	2	2	1652	-31.112	117.792
Upper Gascoyne Shire of_WA	262	2	2	58007	-25.052	115.209
Victoria Plains Shire of_WA	921	2	2	2553	-31.088	116.453
Wagin Shire of_WA	1975	2	2	1947	-33.314	117.344
Wandering Shire of_WA	438	2	2	1901	-32.682	116.678
Waroona Shire of_WA	3843	2	2	832	-32.874	115.922
West Arthur Shire of_WA	887	2	2	2834	-33.338	116.743
Westonia Shire of_WA	272	2	2	3316	-31.303	118.699
Wickepin Shire of_WA	750	2	2	2041	-32.78	117.505
Williams Shire of_WA	928	2	2	2306	-33.025	116.881
Wiluna Shire of_WA	1279	2	2	181662	-26.595	120.225
Wongan_Ballidu Shire of_WA	1586	2	2	3368	-30.894	116.719
Woodanilling Shire of_WA	429	2	2	1129	-33.564	117.432
Wyalkatchem Shire of_WA	519	2	2	1596	-31.177	117.383
Wyndham East Kimberley Shire of_WA	8652	2	2	112023	-15.774	128.739
Yalgoo Shire of_WA	445	2	2	27976	-28.341	116.683
Yilgarn Shire of_WA	1698	2	2	30405	-31.254	119.344
York Shire of_WA	3581	2	2	2133	-31.883333	116.766667
City of Melbourne_VI	60745	2	2	37	-37.813611	144.963056
City of Port Phillip_VI	78227	2	2	21	-37.85	144.966667
City of Stonnington_VI	86090	2	2	26	-37.856245	145.029563
City of Yarra_VI	67052	2	2	20	-37.816667	145
City of Banyule_VI	113696	2	2	63	-37.733333	145.083333
City of Bayside_VI	83504	2	2	36	-37.933333	145.016667
City of Boroondara_VI	148532	2	2	60	-37.816667	145.066667
City of Brimbank_VI	162931	2	2	123	-37.75	144.8
City of Darebin_VI	122821	2	2	53	-37.733333	145.016667
