County	Population	Land Area	Water Area	Total Area	Latitude	Longitude
Winston__AL	24484	1587.608	48.923	1636.531	34.155888	-87.364147
Aleutians_East__AK	3141	18083.149	20792.209	38875.358	55.243722	-161.950749
Aleutians_West__AK	5561	11370.763	25190.644	36561.406	51.959447	178.338813
Anchorage__AK	291826	4415.109	663.861	5078.97	61.177549	-149.274354
Bethel__AK	17013	105075.823	12779.524	117855.346	60.928916	-160.15335
Bristol_Bay__AK	997	1304.947	993.83	2298.777	58.731373	-156.986612
Denali__AK	1826	33026.001	66.069	33092.069	63.682732	-150.026719
Dillingham__AK	4847	48092.913	6077.224	54170.136	59.824816	-158.602233
Fairbanks_North_Star__AK	97581	19005.874	273.188	19279.063	64.690832	-146.599867
Haines__AK	2508	6005.147	1053.875	7059.022	59.099905	-135.578102
Hoonah_Angoon__AK	2150	19489.439	8778.085	28267.524	58.076434	-135.1851
Juneau__AK	31275	6997.969	1429.575	8427.544	58.3727	-134.178781
Kenai_Peninsula__AK	55400	41634.915	22473.29	64108.206	60.366373	-152.321973
Ketchikan_Gateway__AK	13477	12583.233	4649.414	17232.647	55.449938	-131.106685
Kodiak_Island__AK	13592	16963.332	14173.062	31136.394	57.553611	-153.630911
Lake_and_Peninsula__AK	1631	61258.419	24010.457	85268.877	58.205065	-156.705188
MatanuskaSusitna__AK	88995	63734.16	1682.737	65416.898	62.182174	-149.407974
Nome__AK	9492	59470.686	13768.012	73238.698	64.783686	-164.188912
North_Slope__AK	9430	229720.054	15801.179	245521.234	69.449343	-153.47283
Northwest_Arctic__AK	7523	92132.565	13406.688	105539.253	67.005066	-160.021086
Petersburg__AK	3815	8500.294	6221.368	14721.662	56.639612	-133.527996
Prince_of_Wales_Hyder__AK	5559	10160.194	9739.418	19899.612	55.415683	-132.875734
Sitka__AK	8881	7434.144	5027.404	12461.548	57.142509	-135.332624
Skagway__AK	968	1171.516	30.331	1201.847	59.575097	-135.335418
SE_Fairbanks__AK	7029	64150.915	752.795	64903.711	63.864997	-143.218628
ValdezCordova__AK	9636	88680.877	15799.69	104480.567	61.34984	-145.023141
Wade_Hampton__AK	7459	44240.706	6711.999	50952.705	62.283174	-163.19095
Wrangell__AK	2369	6582.411	2384.276	8966.687	56.279121	-132.040326
Yakutat__AK	662	19812.002	4696.71	24508.712	59.999083	-140.239593
YukonKoyukuk__AK	5588	376855.656	5956.564	382812.22	65.376131	-151.576855
Apache__AZ	71518	29001.444	54.176	29055.62	35.385845	-109.493747
Cochise__AZ	131346	15969.064	137.025	16106.089	31.881793	-109.75412
Coconino__AZ	134421	48222.689	109.964	48332.653	35.829692	-111.773728
Gila__AZ	53597	12322.989	97.112	12420.101	33.789618	-110.81187
Graham__AZ	37220	11972.471	47.834	12020.305	32.931828	-109.87831
Greenlee__AZ	8437	4773.674	13.745	4787.419	33.238872	-109.242323
La_Paz__AZ	20489	11653.984	36.582	11690.566	33.727625	-114.038793
Maricopa__AZ	3817117	23828.26	62.796	23891.056	33.346541	-112.495534
Mohave__AZ	200186	34475.547	387.371	34862.918	35.717705	-113.749689
Navajo__AZ	107449	25771.473	24.078	25795.551	35.390934	-110.320908
Pima__AZ	980263	23794.312	5.338	23799.649	32.128237	-111.783018
Pinal__AZ	375770	13896.87	22.332	13919.201	32.91891	-111.367257
Santa_Cruz__AZ	47420	3203.599	3.088	3206.687	31.525904	-110.84519
Yavapai__AZ	211033	21039.765	11.502	21051.267	34.630044	-112.573745
Yuma__AZ	195751	14281.174	13.254	14294.428	32.773942	-113.910905
Arkansas__AR	19019	2560.903	116.496	2677.398	34.289574	-91.376547
Ashley__AR	21853	2396.642	39.311	2435.953	33.190835	-91.772267
Baxter__AR	41513	1435.588	83.997	1519.585	36.28071	-92.330438
Benton__AR	221339	2194.645	94.662	2289.307	36.337825	-94.256187
Boone__AR	36903	1528.692	30.044	1558.737	36.304308	-93.079204
Bradley__AR	11508	1681.5	9.547	1691.047	33.463819	-92.168164
Calhoun__AR	5368	1628.017	9.926	1637.943	33.56046	-92.513879
Carroll__AR	27446	1631.917	22.566	1654.484	36.337774	-93.541663
Chicot__AR	11800	1668.74	120.392	1789.132	33.267139	-91.297158
Clark__AR	22995	2243.122	43.396	2286.518	34.053312	-93.176205
Clay__AR	16083	1656.206	5.106	1661.312	36.367302	-90.418704
Cleburne__AR	25970	1434.056	99.015	1533.071	35.566288	-92.059974
Cleveland__AR	8689	1548.252	2.5	1550.752	33.893201	-92.188714
Columbia__AR	24552	1984.067	1.814	1985.88	33.21507	-93.226901
Conway__AR	21273	1430.32	37.343	1467.662	35.265702	-92.689248
Craighead__AR	96443	1831.656	14.162	1845.818	35.828268	-90.630411
Crawford__AR	61948	1536.107	28.874	1564.981	35.583041	-94.236224
Crittenden__AR	50902	1579.272	68.939	1648.211	35.211878	-90.315331
Cross__AR	17870	1596.418	15.349	1611.767	35.291259	-90.773894
Dallas__AR	8116	1728.523	1.864	1730.387	33.967823	-92.653999
Desha__AR	13008	1989.504	133.058	2122.563	33.828748	-91.244427
Drew__AR	18509	2145.431	18.921	2164.352	33.587242	-91.722778
Faulkner__AR	113237	1678.013	41.927	1719.94	35.146356	-92.324654
Franklin__AR	18125	1576.932	27.934	1604.866	35.508573	-93.887672
Fulton__AR	12245	1601.114	5.527	1606.642	36.383443	-91.819239
Garland__AR	96024	1755.445	147.214	1902.659	34.578861	-93.146915
Grant__AR	17853	1636.377	2.904	1639.281	34.288063	-92.423984
Greene__AR	42090	1496.233	4.827	1501.06	36.119922	-90.565241
Hempstead__AR	22609	1884.268	35.372	1919.64	33.728611	-93.665809
Hot_Spring__AR	32923	1593.367	18.053	1611.42	34.315177	-92.944147
Howard__AR	13789	1524.347	17.509	1541.856	34.083179	-93.990988
Independence__AR	36647	1978.629	19.594	1998.223	35.737499	-91.559942
Izard__AR	13696	1503.686	8.913	1512.599	36.094879	-91.913625
Jackson__AR	17997	1641.893	19.588	1661.481	35.596605	-91.223178
Jefferson__AR	77435	2255.221	111.448	2366.668	34.277696	-91.930701
Johnson__AR	25540	1708.883	59.416	1768.299	35.573359	-93.466322
Lafayette__AR	7645	1368.208	43.539	1411.748	33.24066	-93.611643
Lawrence__AR	17415	1521.913	12.245	1534.158	36.041098	-91.101153
Lee__AR	10424	1560.781	43.722	1604.503	34.77975	-90.779288
Lincoln__AR	14134	1454.321	27.631	1481.952	33.957665	-91.727624
Little_River__AR	13171	1378.53	84.208	1462.737	33.699497	-94.229774
Logan__AR	22353	1834.034	60.696	1894.731	35.21855	-93.720563
Lonoke__AR	68356	1996.177	83.17	2079.347	34.755114	-91.894132
Madison__AR	15717	2160.711	7.316	2168.028	36.012545	-93.724053
Marion__AR	16653	1546.245	112.175	1658.42	36.266656	-92.678588
Miller__AR	43462	1620.24	31.264	1651.504	33.305505	-93.901509
Mississippi__AR	46480	2332.476	49.826	2382.302	35.766943	-90.052209
Monroe__AR	8149	1572.439	36.715	1609.154	34.679513	-91.203314
Montgomery__AR	9487	2019.88	52.86	2072.74	34.545652	-93.664147
Nevada__AR	8997	1600.19	7.258	1607.447	33.666699	-93.305072
Newton__AR	8330	2126.11	5.932	2132.042	35.910063	-93.215084
Ouachita__AR	26120	1897.9	18.05	1915.95	33.591158	-92.878418
Perry__AR	10445	1428.126	23.649	1451.775	34.946363	-92.926877
Phillips__AR	21757	1801.758	82.056	1883.814	34.425842	-90.848386
Pike__AR	11291	1555.592	34.996	1590.588	34.158191	-93.658659
Poinsett__AR	24583	1964.218	13.523	1977.74	35.568981	-90.680595
Polk__AR	20662	2221.378	12.387	2233.765	34.490915	-94.230884
Pope__AR	61754	2104.491	47.207	2151.697	35.455297	-93.031535
Prairie__AR	8715	1678.204	71.629	1749.833	34.828225	-91.5572
Pulaski__AR	382748	1967.777	124.062	2091.839	34.773988	-92.316515
Randolph__AR	17969	1689.166	9.968	1699.134	36.341299	-91.028441
St_Francis__AR	28258	1644.049	20.05	1664.099	35.014438	-90.742199
Saline__AR	107118	1874.125	17.836	1891.96	34.648525	-92.674463
Scott__AR	11233	2311.098	14.901	2325.999	34.858869	-94.063641
Searcy__AR	8195	1725.177	6.257	1731.434	35.90966	-92.699351
Sebastian__AR	125744	1377.644	36.906	1414.549	35.196981	-94.274989
Sevier__AR	17058	1463.67	41.831	1505.501	33.994608	-94.24329
Sharp__AR	17264	1565.489	5.173	1570.662	36.173399	-91.471069
Stone__AR	12394	1570.581	7.839	1578.42	35.856989	-92.140494
Union__AR	41639	2691.553	41.402	2732.954	33.168219	-92.598145
Van_Buren__AR	17295	1834.082	41.806	1875.888	35.582959	-92.515977
Washington__AR	203065	2439.682	27.047	2466.729	35.971209	-94.218417
White__AR	77076	2680.833	18.311	2699.144	35.254722	-91.753158
Woodruff__AR	7260	1519.781	18.708	1538.489	35.189071	-91.244418
Yell__AR	22185	2408.647	48.88	2457.528	34.997713	-93.408303
Alameda__CA	1510271	1914.046	213.185	2127.231	37.648081	-121.913304
Alpine__CA	1175	1912.272	12.557	1924.829	38.61761	-119.798999
Amador__CA	38091	1539.963	29.457	1569.42	38.44355	-120.653856
Butte__CA	220000	4238.423	105.326	4343.749	39.665959	-121.601919
Calaveras__CA	45578	2641.82	43.81	2685.63	38.187844	-120.555115
Colusa__CA	21419	2980.379	14.581	2994.96	39.177739	-122.237563
Contra_Costa__CA	1049025	1854.269	227.485	2081.754	37.919479	-121.951543
Del_Norte__CA	28610	2606.494	578.526	3185.02	41.749903	-123.980998
El_Dorado__CA	181058	4423.397	203.243	4626.64	38.785532	-120.534398
Fresno__CA	930450	15431.126	137.816	15568.942	36.761006	-119.655019
Glenn__CA	28122	3403.107	33.75	3436.857	39.602546	-122.4017
Humboldt__CA	134623	9241.045	1254.256	10495.301	40.706673	-123.925818
Imperial__CA	174528	10817.353	790.248	11607.6	33.040816	-115.355395
Inyo__CA	18546	26368.354	119.208	26487.562	36.561977	-117.403927
Kern__CA	839631	21061.565	79.577	21141.142	35.346629	-118.729506
Kings__CA	152982	3598.582	5.469	3604.051	36.072478	-119.81553
Lake__CA	64665	3254.228	188.962	3443.19	39.094802	-122.746757
Lassen__CA	34895	11761.612	463.441	12225.053	40.721089	-120.629931
Los_Angeles__CA	9818605	10509.87	1795.013	12304.883	34.196398	-118.261862
Madera__CA	150865	5534.983	41.958	5576.94	37.210039	-119.749852
Marin__CA	252409	1347.586	797.42	2145.006	38.051817	-122.745974
Mariposa__CA	18251	3752.417	36.271	3788.688	37.570034	-119.91286
Mendocino__CA	87841	9081.386	962.953	10044.339	39.432388	-123.442881
Merced__CA	255793	5011.555	112.76	5124.315	37.194806	-120.722802
Modoc__CA	9686	10146.977	739.774	10886.752	41.592919	-120.71837
Mono__CA	14202	7896.827	214.695	8111.523	37.915836	-118.875167
Monterey__CA	415057	8496.703	1270.714	9767.417	36.240107	-121.315573
Napa__CA	136484	1938.247	104.169	2042.417	38.507351	-122.325995
Nevada__CA	98764	2480.617	41.515	2522.132	39.295191	-120.773446
Orange__CA	3010232	2047.561	407.917	2455.478	33.675687	-117.777207
Placer__CA	348432	3644.136	247.205	3891.341	39.062032	-120.722718
Plumas__CA	20007	6612.351	156.395	6768.746	39.99517	-120.829516
Riverside__CA	2189641	18664.697	251.073	18915.77	33.729828	-116.002239
Sacramento__CA	1418788	2498.416	76.077	2574.493	38.450011	-121.340441
San_Benito__CA	55269	3596.742	4.555	3601.297	36.610702	-121.085296
San_Bernardino__CA	2035210	51947.23	124.028	52071.258	34.85722	-116.181197
San_Diego__CA	3095313	10895.121	826.348	11721.469	33.023604	-116.776117
San_Franciso__CA	805235	121.4	479.19	600.59	37.727239	-123.032229
San_Joaquin__CA	685306	3603.506	91.109	3694.615	37.935034	-121.272237
San_Luis_Obispo__CA	269637	8543.248	820.975	9364.223	35.385227	-120.44754
San_Mateo__CA	718451	1161.372	757.704	1919.076	37.414664	-122.371542
Santa_Barbara__CA	423895	7083.838	2729.829	9813.667	34.537378	-120.038485
Santa_Clara__CA	1781642	3341.343	36.175	3377.518	37.220777	-121.690622
Santa_Cruz__CA	262382	1152.986	419.569	1572.555	37.012488	-122.007205
Shasta__CA	177223	9778.247	186.531	9964.778	40.760522	-122.04355
Sierra__CA	3240	2468.814	23.299	2492.113	39.576925	-120.521993
Siskiyou__CA	44900	16259.652	179.889	16439.542	41.587986	-122.533287
Solano__CA	413344	2128.361	218.666	2347.027	38.267226	-121.939594
Sonoma__CA	483878	4081.43	497.53	4578.96	38.532574	-122.945194
Stanislaus__CA	514453	3871.583	51.437	3923.02	37.562384	-121.002656
Sutter__CA	94737	1560.236	15.747	1575.983	39.035257	-121.702758
Tehama__CA	63463	7639.71	32.276	7671.986	40.126156	-122.232276
Trinity__CA	13786	8234.23	73.408	8307.638	40.647724	-123.114404
Tulare__CA	442179	12494.658	37.392	12532.05	36.230453	-118.780542
Tuolumne__CA	55365	5752.063	138.684	5890.746	38.021451	-119.964708
Ventura__CA	823318	4773.692	945.992	5719.684	34.358742	-119.133143
Yolo__CA	200849	2628.032	22.969	2651.002	38.679268	-121.903178
Yuba__CA	72155	1636.454	30.999	1667.453	39.270026	-121.34428
Adams__CO	441603	3024.208	42.07	3066.278	39.874325	-104.331872
Alamosa__CO	15445	1871.637	1.808	1873.445	37.568442	-105.788041
Arapahoe__CO	572003	2067.07	19.004	2086.074	39.644632	-104.331733
Archuleta__CO	12084	3496.938	13.828	3510.765	37.202395	-107.050863
Baca__CO	3788	6617.334	6.142	6623.476	37.303144	-102.535457
Bent__CO	6499	3918.292	73.094	3991.386	37.931891	-103.077584
Boulder__CO	294567	1881.08	36.469	1917.549	40.094826	-105.398382
Broomfield__CO	55889	85.558	1.466	87.024	39.953383	-105.052125
Chaffee__CO	17809	2624.702	4.013	2628.716	38.738246	-106.316972
Cheyenne__CO	1836	4605.713	8.166	4613.879	38.835387	-102.604585
Clear_Creek__CO	9088	1023.633	3.28	1026.913	39.689403	-105.670791
Conejos__CO	8256	3334.326	9.235	3343.561	37.213407	-106.176447
Costilla__CO	3524	3177.79	8.829	3186.619	37.277547	-105.42894
Crowley__CO	5823	2039.411	33.43	2072.842	38.321956	-103.787562
Custer__CO	4255	1913.031	3.365	1916.396	38.101994	-105.373515
Delta__CO	30952	2957.897	16.961	2974.858	38.861756	-107.864757
Denver__CO	600158	396.269	4.225	400.494	39.761849	-104.880625
Dolores__CO	2064	2763.65	2.716	2766.366	37.747602	-108.530383
Douglas__CO	285465	2176.232	6.789	2183.022	39.326435	-104.926199
Eagle__CO	52197	4362.912	18.806	4381.718	39.630638	-106.692944
Elbert__CO	23086	4793.671	0.442	4794.113	39.310817	-104.117928
El_Paso__CO	622263	5508.39	7.112	5515.501	38.827383	-104.527472
Fremont__CO	46824	3970.627	2.235	3972.863	38.455658	-105.421438
Garfield__CO	56389	7634.154	21.431	7655.584	39.599352	-107.90978
Gilpin__CO	5441	388.229	0.942	389.171	39.861082	-105.528947
Grand__CO	14843	4781.972	60.25	4842.222	40.123289	-106.095876
Gunnison__CO	15324	8389.229	53.172	8442.401	38.669679	-107.078108
Hinsdale__CO	843	2893.668	15.325	2908.992	37.811625	-107.383405
Huerfano__CO	6711	4120.673	5.792	4126.465	37.687815	-104.959928
Jackson__CO	1394	4179.523	18.75	4198.273	40.663432	-106.329248
Jefferson__CO	534543	1979.29	25.446	2004.736	39.58646	-105.245601
Kiowa__CO	1398	4578.496	47.033	4625.529	38.388466	-102.75621
Kit_Carson__CO	8270	5596.502	2.252	5598.754	39.30534	-102.603023
Lake__CO	7310	976.194	18.124	994.319	39.204316	-106.349696
La_Plata__CO	51334	4382.463	19.76	4402.223	37.287367	-107.839718
Larimer__CO	299630	6723.613	98.295	6821.909	40.663091	-105.482131
Las_Animas__CO	15507	12361.162	6.93	12368.092	37.318831	-104.04411
Lincoln__CO	5467	6676.021	22.781	6698.802	38.99374	-103.507555
Logan__CO	22709	4761.813	16.364	4778.177	40.728091	-103.090464
Mesa__CO	146723	8622.003	31.467	8653.47	39.019492	-108.461837
Mineral__CO	712	2267.966	5.222	2273.188	37.651478	-106.9323
Moffat__CO	13795	12285.065	19.742	12304.807	40.573984	-108.204521
Montezuma__CO	25535	5256.451	27.517	5283.968	37.338025	-108.595786
Montrose__CO	41276	5803.373	4.923	5808.296	38.413427	-108.263042
Morgan__CO	28159	3316.305	34.474	3350.779	40.262354	-103.807092
Otero__CO	18831	3268.465	20.052	3288.518	37.88417	-103.72126
Ouray__CO	4436	1402.719	1.6	1404.318	38.1506	-107.767133
Park__CO	16206	5682.034	43.531	5725.565	39.118914	-105.717648
Phillips__CO	4442	1781.725	0.302	1782.027	40.594712	-102.345105
Pitkin__CO	17148	2514.094	6.469	2520.564	39.217533	-106.915943
Prowers__CO	12551	4243.422	15.353	4258.775	37.958181	-102.392161
Pueblo__CO	159063	6179.981	30.28	6210.261	38.170658	-104.489893
Rio_Blanco__CO	6666	8342.179	4.868	8347.047	39.972606	-108.200685
Rio_Grande__CO	11982	2361.96	0.984	2362.944	37.485763	-106.453214
Routt__CO	23509	6117.619	15.826	6133.445	40.48316	-106.985289
Saguache__CO	6108	8206.441	4.455	8210.895	38.033952	-106.246675
San_Juan__CO	699	1003.588	2.036	1005.624	37.781075	-107.670257
San_Miguel__CO	7359	3332.308	5.214	3337.522	38.009374	-108.427326
Sedgwick__CO	2379	1419.419	3.531	1422.95	40.871568	-102.355358
Summit__CO	27994	1575.639	28.283	1603.922	39.621023	-106.137555
Teller__CO	23350	1442.767	4.945	1447.712	38.871994	-105.182552
Washington__CO	4814	6521.67	15.207	6536.878	39.965413	-103.209605
Weld__CO	252825	10326.899	76.554	10403.453	40.555794	-104.383649
Yuma__CO	10043	6123.78	11.135	6134.915	40.000631	-102.422649
Fairfield__CT	916829	1618.456	549.162	2167.619	41.228103	-73.366757
Hartford__CT	894014	1903.892	40.213	1944.105	41.806053	-72.732916
Litchfield__CT	189927	2384.239	62.166	2446.405	41.791897	-73.235428
Middlesex__CT	165676	956.486	180.684	1137.17	41.434525	-72.524227
New_Haven__CT	862477	1565.663	667.053	2232.716	41.349717	-72.900204
New_London__CT	274055	1722.026	276.666	1998.692	41.47863	-72.103452
Tolland__CT	152691	1062.448	17.698	1080.147	41.858076	-72.340977
Windham__CT	118428	1328.43	22.092	1350.523	41.824999	-71.990702
Kent__DE	162310	1518.196	549.471	2067.667	39.097088	-75.502982
New_Castle__DE	538479	1104.075	175.386	1279.461	39.575915	-75.644132
Sussex__DE	197145	2424.433	674.205	3098.638	38.677511	-75.335495
Washington__DC	601723	158.115	18.885	177	38.904149	-77.017094
Alachua__FL	247336	2266.292	242.911	2509.202	29.67574	-82.357221
Baker__FL	27115	1515.741	9.686	1525.427	30.324442	-82.302284
Bay__FL	168852	1964.401	711.453	2675.854	30.237563	-85.631348
Bradford__FL	28520	761.357	16.905	778.262	29.946934	-82.166796
Brevard__FL	543376	2630.558	1402.041	4032.599	28.298276	-80.700384
Broward__FL	1748066	3133.329	292.869	3426.198	26.19352	-80.476658
Calhoun__FL	14625	1469.389	18.075	1487.464	30.388801	-85.197916
Charlotte__FL	159978	1761.914	461.075	2222.989	26.868826	-81.940858
Citrus__FL	141236	1506.586	496.236	2002.823	28.843628	-82.524796
Clay__FL	190865	1565.286	101.496	1666.782	29.987116	-81.858147
Collier__FL	321520	5175.636	794.325	5969.962	26.118713	-81.400884
Columbia__FL	67531	2065.708	9.723	2075.43	30.221305	-82.623127
DeSoto__FL	34862	1649.976	6.275	1656.25	27.190581	-81.806253
Dixie__FL	16422	1826.079	410.764	2236.843	29.580899	-83.195666
Duval__FL	864263	1974.068	404.713	2378.781	30.335245	-81.648113
Escambia__FL	297619	1700.227	565.247	2265.474	30.611664	-87.33904
Flagler__FL	95696	1257.338	221.091	1478.429	29.474894	-81.286362
Franklin__FL	11549	1384.931	1273.676	2658.607	29.810176	-84.799174
Gadsden__FL	46389	1337.293	31.588	1368.881	30.57917	-84.612783
Gilchrist__FL	16939	905.659	14.406	920.064	29.723456	-82.795801
Glades__FL	12884	2087.554	468.371	2555.925	26.95481	-81.19082
Gulf__FL	15863	1460.785	496.109	1956.894	29.907257	-85.256537
Hamilton__FL	14799	1330.711	13.638	1344.349	30.491102	-82.951049
Hardee__FL	27731	1651.85	1.44	1653.289	27.492846	-81.82158
Hendry__FL	39140	2985.609	96.465	3082.075	26.53934	-81.151584
Hernando__FL	172778	1223.869	301.689	1525.558	28.567911	-82.464835
Highlands__FL	98786	2633.02	231.596	2864.616	27.342627	-81.340921
Hillsborough__FL	1229226	2642.341	635.973	3278.314	27.90659	-82.349568
Holmes__FL	19927	1240.028	26.599	1266.626	30.866222	-85.812959
Indian_River__FL	138028	1302.432	295.606	1598.038	27.700638	-80.574803
Jackson__FL	49746	2376.987	95.322	2472.31	30.787812	-85.210374
Jefferson__FL	14761	1549.059	99.559	1648.618	30.424558	-83.890859
Lafayette__FL	8870	1407.428	11.646	1419.075	29.990066	-83.17851
Lake__FL	297052	2430.396	566.127	2996.523	28.764113	-81.712282
Lee__FL	618754	2031.879	1108.38	3140.26	26.552134	-81.89225
Leon__FL	275487	1727.139	90.487	1817.626	30.45931	-84.2778
Levy__FL	40801	2896.139	762.981	3659.121	29.284409	-82.783483
Liberty__FL	8365	2164.095	19.583	2183.678	30.259849	-84.868581
Madison__FL	19224	1802.498	51.114	1853.612	30.447228	-83.470437
Manatee__FL	322833	1924.182	387.845	2312.027	27.481386	-82.365784
Marion__FL	331298	4103.956	202.185	4306.141	29.202805	-82.0431
Martin__FL	146318	1407.565	542.252	1949.817	27.079954	-80.398211
MiamiDade__FL	2496435	4915.061	1381.673	6296.734	25.610494	-80.499045
Monroe__FL	73090	2546.689	7133.454	9680.143	25.601043	-81.206777
Nassau__FL	73314	1679.968	200.159	1880.126	30.605926	-81.764929
Okaloosa__FL	180822	2409.329	393.241	2802.57	30.665858	-86.594194
Okeechobee__FL	39996	1991.463	318.565	2310.028	27.385592	-80.887388
Orange__FL	1145956	2339.87	258.561	2598.431	28.514435	-81.323295
Osceola__FL	268685	3438.086	462.192	3900.278	28.059027	-81.139312
Palm_Beach__FL	1320134	5101.663	1070.302	6171.965	26.645763	-80.448673
Pasco__FL	464697	1934.426	314.859	2249.285	28.302024	-82.455707
Pinellas__FL	916542	709.136	865.906	1575.042	27.903122	-82.739518
Polk__FL	602095	4656.376	550.926	5207.302	27.953115	-81.692783
Putnam__FL	74364	1884.533	257.184	2141.717	29.606006	-81.740894
St_Johns__FL	190039	1555.69	572.051	2127.74	29.890593	-81.383914
St_Lucie__FL	277789	1481.281	300.907	1782.188	27.380775	-80.443364
Santa_Rosa__FL	151372	2620.044	420.026	3040.069	30.703633	-87.014255
Sarasota__FL	379448	1439.691	438.941	1878.632	27.184386	-82.365835
Seminole__FL	422718	800.879	93.428	894.308	28.690079	-81.13198
Sumter__FL	93420	1416.549	85.192	1501.741	28.714294	-82.074715
Suwannee__FL	41551	1783.341	9.594	1792.935	30.189244	-82.992754
Taylor__FL	22570	2702.148	489.238	3191.386	30.016943	-83.616417
Union__FL	15535	630.806	16.05	646.856	30.05428	-82.366918
